City,Latitude,Longitude,Max Temperature,Humidity,Cloud Coverage,Windspeed,Country,City Date Time,Weather Description
okato,-39.2,173.8833,51.69,86.0,86.0,4.61,NZ,2021-07-24 04:51:50,few clouds
eureka,40.8021,-124.1637,56.35,78.0,78.0,1.01,US,2021-07-24 04:50:02,clear sky
ushuaia,-54.8,-68.3,37.06,75.0,75.0,5.75,AR,2021-07-24 04:50:39,light rain
mataura,-46.1927,168.8643,44.56,87.0,87.0,3.38,NZ,2021-07-24 04:53:03,scattered clouds
xinqing,48.2333,129.5,92.3,33.0,33.0,12.33,CN,2021-07-24 04:53:04,few clouds
moron,-34.6534,-58.6198,62.98,80.0,80.0,1.99,AR,2021-07-24 04:53:04,overcast clouds
avarua,-21.2078,-159.775,73.45,78.0,78.0,4.61,CK,2021-07-24 04:53:04,few clouds
tumsar,21.3833,79.7333,75.99,91.0,91.0,8.97,IN,2021-07-24 04:53:05,heavy intensity rain
nanortalik,60.1432,-45.2371,42.31,91.0,91.0,10.4,GL,2021-07-24 04:53:05,broken clouds
busselton,-33.65,115.3333,60.08,66.0,66.0,14.54,AU,2021-07-24 04:53:05,overcast clouds
batagay-alyta,67.8006,130.4114,74.75,37.0,37.0,7.9,RU,2021-07-24 04:53:06,few clouds
beringovskiy,63.05,179.3167,52.54,88.0,88.0,6.22,RU,2021-07-24 04:53:06,overcast clouds
grand river south east,,,,,,,,,
bathsheba,13.2167,-59.5167,81.21,83.0,83.0,13.8,BB,2021-07-24 04:53:07,broken clouds
isangel,-19.55,169.2667,82.51,78.0,78.0,0.0,VU,2021-07-24 04:53:07,broken clouds
awjilah,29.1081,21.2869,76.89,47.0,47.0,9.1,LY,2021-07-24 04:53:07,clear sky
punta arenas,-53.15,-70.9167,37.51,87.0,87.0,28.77,CL,2021-07-24 04:50:29,clear sky
hilo,19.7297,-155.09,81.28,86.0,86.0,8.05,US,2021-07-24 04:52:33,moderate rain
hithadhoo,-0.6,73.0833,81.27,73.0,73.0,2.17,MV,2021-07-24 04:53:08,broken clouds
illoqqortoormiut,,,,,,,,,
airai,-8.9266,125.4092,77.67,22.0,22.0,5.48,TL,2021-07-24 04:53:09,broken clouds
powell,40.1578,-83.0752,69.96,85.0,85.0,0.0,US,2021-07-24 04:53:09,scattered clouds
karratha,-20.7377,116.8463,82.45,29.0,29.0,14.9,AU,2021-07-24 04:53:09,few clouds
baker city,44.7749,-117.8344,65.64,29.0,29.0,5.64,US,2021-07-24 04:53:10,clear sky
pevek,69.7008,170.3133,39.99,92.0,92.0,4.34,RU,2021-07-24 04:53:10,overcast clouds
rikitea,-23.1203,-134.9692,70.09,56.0,56.0,10.29,PF,2021-07-24 04:53:10,clear sky
lukovetskiy,64.2956,41.9211,48.18,73.0,73.0,8.34,RU,2021-07-24 04:53:11,light rain
